Loan Number,Loan Officer,Primary Borrower,Co-Borrowers,Primary Borrower: Email,Co-Borrowers: Email,Subject Property: Address: 1,Subject Property: Address: State,Funding Date,Program,Total Loan Amount,Doc Signed Date,Interest Rate,Custom: PCL Loan Type,LTV,CLTV,DTI
4038XXX,Brad Overlin,Mock Borrower 117,,mock_117@example.com,mock_co_117@example.com,"2748 Mock St, City, WA 12345",WA,12/14/2023,C 30 HB,"$756,500.00",12/13/2023,6.990%,Conventional,89.000%,89.000%,0.000%
4113XXX,Brad Overlin,Mock Borrower 118,,mock_118@example.com,mock_co_118@example.com,"7735 Mock St, City, WA 12345",WA,12/11/2023,Temp 1/0 Buydown HomeOne 30,"$654,750.00",12/8/2023,6.875%,Conventional,97.000%,97.000%,0.000%
4103XXX,Brad Overlin,Mock Borrower 119,,mock_119@example.com,,"5139 Mock St, City, WA 12345",WA,12/5/2023,C30,"$612,500.00",12/4/2023,7.437%,Conventional,70.000%,70.000%,0.000%
4095XXX,Brad Overlin,Mock Borrower 120,,mock_120@example.com,,"6871 Mock St, City, OH 12345",OH,11/3/2023,C30,"$126,000.00",11/2/2023,8.125%,Conventional,80.000%,80.000%,0.000%
4092XXX,Brad Overlin,Mock Borrower 121,,mock_121@example.com,mock_co_121@example.com,"5237 Mock St, City, WA 12345",WA,11/3/2023,C 30 HB Preferred Express,"$810,000.00",11/2/2023,8.250%,Conventional,75.000%,75.000%,0.000%
3910XXX,Brad Overlin,Mock Borrower 122,,mock_122@example.com,mock_co_122@example.com,"2398 Mock St, City, WA 12345",WA,10/19/2023,C 30 HB,"$944,000.00",10/19/2023,8.000%,Conventional,80.000%,80.000%,0.000%
4055XXX,Brad Overlin,Mock Borrower 123,,mock_123@example.com,mock_co_123@example.com,"857 Mock St, City, WA 12345",WA,10/18/2023,J 30 Preferred Express,"$1,372,000.00",10/18/2023,7.500%,Conventional,80.000%,80.000%,0.000%
4091XXX,Brad Overlin,Mock Borrower 124,,mock_124@example.com,,"3371 Mock St, City, ID 12345",ID,10/10/2023,Temp 3/2/1 Buydown C 30 (AMI),"$215,000.00",10/7/2023,6.990%,Conventional,46.240%,46.237%,0.000%
4046XXX,Brad Overlin,Mock Borrower 125,,mock_125@example.com,,"1378 Mock St, City, WA 12345",WA,10/3/2023,VA 30,"$418,815.00",10/2/2023,6.375%,VA,100.000%,100.000%,0.000%
4073XXX,Brad Overlin,Mock Borrower 126,,mock_126@example.com,mock_co_126@example.com,"3334 Mock St, City, WA 12345",WA,9/27/2023,C 30 (AMI),"$522,500.00",9/26/2023,6.937%,Conventional,95.000%,95.000%,0.000%
4049XXX,Brad Overlin,Mock Borrower 127,,mock_127@example.com,mock_co_127@example.com,"6783 Mock St, City, WA 12345",WA,9/15/2023,C 30 HB,"$888,725.00",9/14/2023,7.500%,Conventional,95.000%,95.000%,0.000%
4075XXX,Brad Overlin,Mock Borrower 128,,mock_128@example.com,mock_co_128@example.com,"3696 Mock St, City, WA 12345",WA,9/13/2023,C30,"$365,750.00",9/12/2023,7.875%,Conventional,95.000%,95.000%,0.000%
4060XXX,Brad Overlin,Mock Borrower 129,,mock_129@example.com,mock_co_129@example.com,"752 Mock St, City, OR 12345",OR,9/13/2023,C30,"$480,000.00",9/11/2023,6.990%,Conventional,80.000%,80.000%,0.000%
4059XXX,Brad Overlin,Mock Borrower 130,,mock_130@example.com,mock_co_130@example.com,"8621 Mock St, City, WA 12345",WA,8/31/2023,C 30 (AMI),"$584,727.00",8/30/2023,6.937%,Conventional,81.780%,81.780%,0.000%
4000XXX,Brad Overlin,Mock Borrower 131,,mock_131@example.com,mock_co_131@example.com,"4636 Mock St, City, WA 12345",WA,8/21/2023,C 30 HB (AMI),"$812,250.00",8/16/2023,6.250%,Conventional,95.000%,95.000%,0.000%
3998XXX,Brad Overlin,Mock Borrower 132,,mock_132@example.com,mock_co_132@example.com,"1262 Mock St, City, WA 12345",WA,8/11/2023,FHA 30,"$722,669.00",8/9/2023,6.750%,FHA,96.500%,96.500%,0.000%
3992XXX,Brad Overlin,Mock Borrower 133,,mock_133@example.com,mock_co_133@example.com,"2422 Mock St, City, OR 12345",OR,8/4/2023,C15,"$299,999.00",7/18/2023,6.750%,Conventional,75.000%,75.000%,0.000%
4048XXX,Brad Overlin,Mock Borrower 134,,mock_134@example.com,mock_co_134@example.com,"8991 Mock St, City, WA 12345",WA,7/27/2023,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$15,464.00",7/26/2023,0.000%,Conventional,0.000%,99.445%,0.000%
4032XXX,Brad Overlin,Mock Borrower 135,,mock_135@example.com,mock_co_135@example.com,"5423 Mock St, City, WA 12345",WA,7/27/2023,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$515,490.00",7/26/2023,7.125%,FHA,96.500%,99.445%,0.000%
4006XXX,Brad Overlin,Mock Borrower 136,,mock_136@example.com,,"2277 Mock St, City, WA 12345",WA,7/24/2023,C 30 HB Preferred Express,"$816,000.00",7/24/2023,6.750%,Conventional,80.000%,80.000%,0.000%
4017XXX,Brad Overlin,Mock Borrower 137,,mock_137@example.com,,"2034 Mock St, City, WA 12345",WA,7/17/2023,C30,"$516,000.00",7/13/2023,7.625%,Conventional,80.000%,80.000%,0.000%
3933XXX,Brad Overlin,Mock Borrower 138,,mock_138@example.com,,"7210 Mock St, City, WA 12345",WA,7/14/2023,J 30 Preferred Express,"$1,120,000.00",7/13/2023,6.625%,Conventional,80.000%,80.000%,0.000%
3978XXX,Brad Overlin,Mock Borrower 139,,mock_139@example.com,mock_co_139@example.com,"8377 Mock St, City, WA 12345",WA,7/10/2023,C 30 (AMI),"$560,000.00",7/7/2023,6.062%,Conventional,80.000%,80.000%,0.000%
3997XXX,Brad Overlin,Mock Borrower 140,,mock_140@example.com,mock_co_140@example.com,"3589 Mock St, City, WA 12345",WA,7/3/2023,C 30 HB Preferred Express,"$756,350.00",6/30/2023,5.875%,Conventional,70.000%,70.000%,0.000%
3724XXX,Brad Overlin,Mock Borrower 141,,mock_141@example.com,,"2256 Mock St, City, WA 12345",WA,6/28/2023,C30,"$638,400.00",6/23/2023,5.990%,Conventional,95.000%,95.000%,0.000%
3980XXX,Brad Overlin,Mock Borrower 142,,mock_142@example.com,mock_co_142@example.com,"6843 Mock St, City, WA 12345",WA,6/20/2023,C 30 (AMI),"$598,500.00",6/9/2023,6.500%,Conventional,95.000%,95.000%,0.000%
4016XXX,Brad Overlin,Mock Borrower 143,,mock_143@example.com,mock_co_143@example.com,"8169 Mock St, City, WA 12345",WA,6/14/2023,Temp 2/1 Buydown C30 HB,"$920,000.00",6/13/2023,7.375%,Conventional,89.490%,89.494%,0.000%
3956XXX,Brad Overlin,Mock Borrower 144,,mock_144@example.com,mock_co_144@example.com,"1472 Mock St, City, WA 12345",WA,6/9/2023,C30,"$256,500.00",6/7/2023,7.437%,Conventional,95.000%,95.000%,0.000%
4004XXX,Brad Overlin,Mock Borrower 145,,mock_145@example.com,mock_co_145@example.com,"7516 Mock St, City, WA 12345",WA,6/8/2023,FNMA 30Y 95-97% (AMI),"$630,500.00",6/7/2023,6.625%,Conventional,97.000%,97.000%,0.000%
3995XXX,Brad Overlin,Mock Borrower 146,,mock_146@example.com,mock_co_146@example.com,"4418 Mock St, City, WA 12345",WA,5/26/2023,C30,"$450,000.00",5/25/2023,6.125%,Conventional,47.370%,47.368%,0.000%
4001XXX,Brad Overlin,Mock Borrower 147,,mock_147@example.com,mock_co_147@example.com,"512 Mock St, City, WA 12345",WA,5/26/2023,EA LR 30 YR,"$1,241,600.00",5/25/2023,7.125%,Conventional,80.000%,80.000%,0.000%
4000XXX,Brad Overlin,Mock Borrower 148,,mock_148@example.com,mock_co_148@example.com,"2803 Mock St, City, WA 12345",WA,5/18/2023,C 30 HB,"$795,800.00",5/17/2023,5.990%,Conventional,86.500%,86.500%,0.000%
3941XXX,Brad Overlin,Mock Borrower 149,,mock_149@example.com,mock_co_149@example.com,"7759 Mock St, City, AZ 12345",AZ,5/3/2023,VA 30,"$374,000.00",5/1/2023,7.250%,VA,100.000%,100.000%,0.000%
3971XXX,Brad Overlin,Mock Borrower 150,,mock_150@example.com,,"3369 Mock St, City, WA 12345",WA,4/28/2023,C30,"$628,000.00",4/28/2023,6.437%,Conventional,80.000%,80.000%,0.000%
3988XXX,Brad Overlin,Mock Borrower 151,,mock_151@example.com,mock_co_151@example.com,"4152 Mock St, City, WA 12345",WA,4/28/2023,C 30 HB,"$732,000.00",4/26/2023,7.625%,Conventional,80.000%,80.000%,0.000%
3968XXX,Brad Overlin,Mock Borrower 152,,mock_152@example.com,mock_co_152@example.com,"2806 Mock St, City, WA 12345",WA,5/1/2023,C30,"$723,600.00",4/27/2023,5.875%,Conventional,90.000%,90.000%,0.000%
3974XXX,Brad Overlin,Mock Borrower 153,,mock_153@example.com,mock_co_153@example.com,"8154 Mock St, City, TN 12345",TN,4/25/2023,C30,"$245,000.00",4/20/2023,6.062%,Conventional,70.000%,70.000%,0.000%
3971XXX,Brad Overlin,Mock Borrower 154,,mock_154@example.com,,"2271 Mock St, City, NV 12345",NV,4/21/2023,C30,"$198,400.00",4/11/2023,5.990%,Conventional,80.000%,80.000%,0.000%
3965XXX,Brad Overlin,Mock Borrower 155,,mock_155@example.com,,"8094 Mock St, City, WA 12345",WA,4/18/2023,C30,"$288,750.00",4/18/2023,7.437%,Conventional,75.000%,75.000%,0.000%
3944XXX,Brad Overlin,Mock Borrower 156,,mock_156@example.com,,"5604 Mock St, City, WA 12345",WA,4/19/2023,C 30 HB,"$977,500.00",4/17/2023,6.500%,Conventional,93.100%,93.095%,0.000%
3970XXX,Brad Overlin,Mock Borrower 157,,mock_157@example.com,mock_co_157@example.com,"7930 Mock St, City, WA 12345",WA,4/19/2023,VA 30 HB,"$750,000.00",4/18/2023,6.250%,VA,100.000%,100.000%,0.000%
3965XXX,Brad Overlin,Mock Borrower 158,,mock_158@example.com,mock_co_158@example.com,"8785 Mock St, City, NV 12345",NV,4/14/2023,C30,"$308,750.00",4/10/2023,5.937%,Conventional,65.000%,65.000%,0.000%
3979XXX,Brad Overlin,Mock Borrower 159,,mock_159@example.com,mock_co_159@example.com,"6931 Mock St, City, WA 12345",WA,4/14/2023,C 30 HB,"$977,500.00",4/12/2023,5.875%,Conventional,48.150%,48.153%,0.000%
3645XXX,Brad Overlin,Mock Borrower 160,,mock_160@example.com,mock_co_160@example.com,"5815 Mock St, City, WA 12345",WA,4/7/2023,J 30 Preferred Express,"$1,317,750.00",4/4/2023,6.250%,Conventional,75.000%,75.000%,0.000%
3917XXX,Brad Overlin,Mock Borrower 161,,mock_161@example.com,,"5085 Mock St, City, WA 12345",WA,4/4/2023,C30,"$726,200.00",3/30/2023,7.125%,Conventional,74.480%,74.482%,0.000%
3965XXX,Brad Overlin,Mock Borrower 162,,mock_162@example.com,mock_co_162@example.com,"3267 Mock St, City, NV 12345",NV,3/30/2023,C30,"$215,800.00",3/24/2023,6.937%,Conventional,65.000%,65.000%,0.000%
3958XXX,Brad Overlin,Mock Borrower 163,,mock_163@example.com,mock_co_163@example.com,"9225 Mock St, City, NV 12345",NV,3/30/2023,C30,"$215,800.00",3/24/2023,6.937%,Conventional,65.000%,65.000%,0.000%
3952XXX,Brad Overlin,Mock Borrower 164,,mock_164@example.com,mock_co_164@example.com,"2943 Mock St, City, WA 12345",WA,3/17/2023,Temp 2/1 Buydown C30,"$598,500.00",3/16/2023,6.562%,Conventional,90.000%,90.000%,0.000%
3959XXX,Brad Overlin,Mock Borrower 165,,mock_165@example.com,mock_co_165@example.com,"7662 Mock St, City, WA 12345",WA,3/17/2023,C30,"$556,700.00",3/17/2023,6.990%,Conventional,95.000%,95.000%,0.000%
3932XXX,Brad Overlin,Mock Borrower 166,,mock_166@example.com,mock_co_166@example.com,"181 Mock St, City, WA 12345",WA,3/14/2023,Temp 2/1 Buydown HomeOne 30,"$551,930.00",3/10/2023,6.875%,Conventional,97.000%,97.000%,0.000%
3940XXX,Brad Overlin,Mock Borrower 167,,mock_167@example.com,,"5248 Mock St, City, WA 12345",WA,3/9/2023,Temp 2/1 Buydown C30,"$646,000.00",3/7/2023,6.990%,Conventional,95.000%,95.000%,0.000%
3902XXX,Brad Overlin,Mock Borrower 168,,mock_168@example.com,,"3450 Mock St, City, WA 12345",WA,2/28/2023,Temp 2/1 Buydown VA 30 HB,"$814,142.00",2/27/2023,5.625%,VA,89.220%,89.222%,0.000%
3933XXX,Brad Overlin,Mock Borrower 169,,mock_169@example.com,,"2473 Mock St, City, TX 12345",TX,2/27/2023,C30,"$473,262.00",2/21/2023,5.875%,Conventional,63.100%,63.102%,0.000%
3921XXX,Brad Overlin,Mock Borrower 170,,mock_170@example.com,mock_co_170@example.com,"1577 Mock St, City, WA 12345",WA,2/17/2023,Temp 2/1 Buydown C30 HB,"$935,750.00",2/9/2023,5.990%,Conventional,95.000%,95.000%,0.000%
3899XXX,Brad Overlin,Mock Borrower 171,,mock_171@example.com,mock_co_171@example.com,"6466 Mock St, City, WA 12345",WA,2/10/2023,VA 30,"$325,825.00",2/10/2023,5.000%,VA,98.000%,98.000%,0.000%
3911XXX,Brad Overlin,Mock Borrower 172,,mock_172@example.com,mock_co_172@example.com,"184 Mock St, City, CA 12345",CA,2/6/2023,C30,"$460,000.00",2/1/2023,6.990%,Conventional,40.000%,40.000%,0.000%
3917XXX,Brad Overlin,Mock Borrower 173,,mock_173@example.com,mock_co_173@example.com,"2838 Mock St, City, WA 12345",WA,1/31/2023,C30,"$422,750.00",1/30/2023,5.990%,Conventional,95.000%,95.000%,0.000%
3398XXX,Brad Overlin,Mock Borrower 174,,mock_174@example.com,mock_co_174@example.com,"9830 Mock St, City, WA 12345",WA,1/19/2023,WSHFC HFA Advantage (Conv) – NO WSHFC DPA,"$359,724.00",1/18/2023,6.125%,Conventional,97.000%,97.000%,0.000%
3905XXX,Brad Overlin,Mock Borrower 175,,mock_175@example.com,mock_co_175@example.com,"4994 Mock St, City, WA 12345",WA,12/29/2022,C30,"$495,425.00",12/27/2022,5.937%,Conventional,70.000%,70.000%,0.000%
3901XXX,Brad Overlin,Mock Borrower 176,,mock_176@example.com,mock_co_176@example.com,"2865 Mock St, City, WA 12345",WA,12/16/2022,Temp 2/1 Buydown FHA 30,"$535,128.00",12/16/2022,5.375%,FHA,96.500%,96.500%,0.000%
3893XXX,Brad Overlin,Mock Borrower 177,,mock_177@example.com,mock_co_177@example.com,"3755 Mock St, City, WA 12345",WA,12/6/2022,C 30 HB,"$745,750.00",12/5/2022,6.250%,Conventional,95.000%,95.000%,0.000%
3577XXX,Brad Overlin,Mock Borrower 178,,mock_178@example.com,mock_co_178@example.com,"1063 Mock St, City, WA 12345",WA,11/7/2022,C30,"$570,000.00",11/4/2022,6.625%,Conventional,95.000%,95.000%,0.000%
3872XXX,Brad Overlin,Mock Borrower 179,,mock_179@example.com,,"6234 Mock St, City, WA 12345",WA,11/1/2022,VA 30,"$390,786.00",10/31/2022,6.750%,VA,100.000%,100.000%,0.000%
3874XXX,Brad Overlin,Mock Borrower 180,,mock_180@example.com,mock_co_180@example.com,"313 Mock St, City, WA 12345",WA,10/28/2022,C 30 HB,"$820,000.00",10/20/2022,6.875%,Conventional,76.280%,76.279%,0.000%
3845XXX,Brad Overlin,Mock Borrower 181,,mock_181@example.com,mock_co_181@example.com,"4549 Mock St, City, WA 12345",WA,10/19/2022,FHA 30,"$589,082.00",10/17/2022,6.750%,FHA,96.500%,96.500%,0.000%
3841XXX,Brad Overlin,Mock Borrower 182,,mock_182@example.com,mock_co_182@example.com,"9641 Mock St, City, WA 12345",WA,9/21/2022,FHA 30 HB,"$793,365.00",9/14/2022,4.250%,FHA,96.500%,96.500%,0.000%
3541XXX,Brad Overlin,Mock Borrower 183,,mock_183@example.com,mock_co_183@example.com,"6754 Mock St, City, WA 12345",WA,9/15/2022,FHA 30 HB,"$672,592.00",9/14/2022,5.625%,FHA,96.500%,96.500%,0.000%
3844XXX,Brad Overlin,Mock Borrower 184,,mock_184@example.com,,"4170 Mock St, City, WA 12345",WA,9/8/2022,C30,"$187,000.00",9/7/2022,6.125%,Conventional,85.000%,85.000%,0.000%
3809XXX,Brad Overlin,Mock Borrower 185,,mock_185@example.com,mock_co_185@example.com,"1558 Mock St, City, OR 12345",OR,8/29/2022,C30,"$510,450.00",8/18/2022,4.312%,Conventional,83.000%,83.000%,0.000%
3839XXX,Brad Overlin,Mock Borrower 186,,mock_186@example.com,mock_co_186@example.com,"1042 Mock St, City, WA 12345",WA,8/29/2022,C30,"$299,600.00",8/20/2022,4.990%,Conventional,40.490%,40.486%,0.000%
3846XXX,Brad Overlin,Mock Borrower 187,,mock_187@example.com,,"4409 Mock St, City, WA 12345",WA,8/24/2022,HomeReady 30,"$436,500.00",8/23/2022,5.125%,Conventional,97.000%,97.000%,0.000%
3469XXX,Brad Overlin,Mock Borrower 188,,mock_188@example.com,mock_co_188@example.com,"8571 Mock St, City, WA 12345",WA,8/23/2022,C30,"$571,000.00",8/22/2022,4.312%,Conventional,84.590%,84.593%,0.000%
3814XXX,Brad Overlin,Mock Borrower 189,,mock_189@example.com,mock_co_189@example.com,"5404 Mock St, City, TX 12345",TX,8/10/2022,C30,"$629,000.00",8/5/2022,6.625%,Conventional,74.440%,74.438%,0.000%
3824XXX,Brad Overlin,Mock Borrower 190,,mock_190@example.com,mock_co_190@example.com,"9870 Mock St, City, WA 12345",WA,7/26/2022,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$17,673.00",7/25/2022,0.000%,Conventional,0.000%,102.116%,0.000%
3804XXX,Brad Overlin,Mock Borrower 191,,mock_191@example.com,mock_co_191@example.com,"2044 Mock St, City, WA 12345",WA,7/26/2022,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$441,849.00",7/25/2022,6.625%,FHA,96.500%,100.427%,0.000%
3820XXX,Brad Overlin,Mock Borrower 192,,mock_192@example.com,mock_co_192@example.com,"2062 Mock St, City, WA 12345",WA,7/25/2022,WSHFC Advantage 2nd Lien w GVT 1st (DTI),"$12,577.00",7/21/2022,0.000%,Conventional,0.000%,101.134%,0.000%
3785XXX,Brad Overlin,Mock Borrower 193,,mock_193@example.com,mock_co_193@example.com,"1978 Mock St, City, WA 12345",WA,7/25/2022,WSHFC Home Adv (FHA) w ADV DPA (DTI),"$419,265.00",7/21/2022,6.375%,FHA,96.500%,99.445%,0.000%
3695XXX,Brad Overlin,Mock Borrower 194,,mock_194@example.com,mock_co_194@example.com,"192 Mock St, City, CA 12345",CA,7/26/2022,C 30 HB,"$879,750.00",7/22/2022,5.990%,Conventional,89.310%,89.315%,0.000%
3802XXX,Brad Overlin,Mock Borrower 195,,mock_195@example.com,mock_co_195@example.com,"1007 Mock St, City, WA 12345",WA,6/24/2022,C 30 HB,"$702,400.00",6/15/2022,5.125%,Conventional,80.000%,80.000%,0.000%
3768XXX,Brad Overlin,Mock Borrower 196,,mock_196@example.com,mock_co_196@example.com,"2135 Mock St, City, WA 12345",WA,6/24/2022,J 30 Sapphire,"$960,000.00",6/22/2022,5.125%,Conventional,80.000%,80.000%,0.000%
3794XXX,Brad Overlin,Mock Borrower 197,,mock_197@example.com,,"8074 Mock St, City, WA 12345",WA,6/22/2022,C 30 HB,"$839,890.00",6/17/2022,4.990%,Conventional,76.350%,89.990%,0.000%
3807XXX,Brad Overlin,Mock Borrower 198,,mock_198@example.com,mock_co_198@example.com,"7844 Mock St, City, WA 12345",WA,6/22/2022,C30,"$637,500.00",6/16/2022,5.125%,Conventional,75.000%,75.000%,0.000%
3705XXX,Brad Overlin,Mock Borrower 199,,mock_199@example.com,mock_co_199@example.com,"5389 Mock St, City, FL 12345",FL,6/17/2022,C30,"$599,925.00",6/9/2022,4.990%,Conventional,75.000%,75.000%,0.000%
3790XXX,Brad Overlin,Mock Borrower 200,,mock_200@example.com,,"3955 Mock St, City, NV 12345",NV,6/14/2022,C30,"$165,000.00",6/8/2022,5.062%,Conventional,50.000%,50.000%,0.000%
3697XXX,Brad Overlin,Mock Borrower 201,,mock_201@example.com,,"9573 Mock St, City, WA 12345",WA,6/3/2022,C30,"$550,000.00",6/2/2022,5.500%,Conventional,61.110%,61.111%,0.000%
3741XXX,Brad Overlin,Mock Borrower 202,,mock_202@example.com,,"5327 Mock St, City, WA 12345",WA,5/25/2022,C30,"$351,500.00",5/20/2022,3.375%,Conventional,54.080%,54.077%,0.000%
3780XXX,Brad Overlin,Mock Borrower 203,,mock_203@example.com,mock_co_203@example.com,"1779 Mock St, City, WA 12345",WA,5/18/2022,WSHFC Opportunity 2nd Lien ,"$15,000.00",5/17/2022,1.000%,Conventional,0.000%,101.545%,0.000%
3771XXX,Brad Overlin,Mock Borrower 204,,mock_204@example.com,mock_co_204@example.com,"7393 Mock St, City, WA 12345",WA,5/18/2022,WSHFC House Key (Conv.) with Opportunity DPA,"$320,100.00",5/17/2022,5.000%,Conventional,97.000%,101.545%,0.000%
3774XXX,Brad Overlin,Mock Borrower 205,,mock_205@example.com,,"3002 Mock St, City, NV 12345",NV,5/17/2022,C30,"$250,000.00",5/13/2022,5.562%,Conventional,46.300%,46.296%,0.000%
3771XXX,Brad Overlin,Mock Borrower 206,,mock_206@example.com,,"676 Mock St, City, WA 12345",WA,5/13/2022,WSHFC Opportunity 2nd Lien ,"$15,000.00",5/12/2022,1.000%,Conventional,0.000%,102.000%,0.000%
3737XXX,Brad Overlin,Mock Borrower 207,,mock_207@example.com,,"5431 Mock St, City, WA 12345",WA,5/16/2022,C30,"$600,000.00",5/10/2022,4.375%,Conventional,44.440%,44.444%,0.000%
3727XXX,Brad Overlin,Mock Borrower 208,,mock_208@example.com,,"2180 Mock St, City, WA 12345",WA,5/13/2022,WSHFC House Key (Conv.) with Opportunity DPA,"$291,000.00",5/12/2022,4.750%,Conventional,97.000%,102.000%,0.000%
3747XXX,Brad Overlin,Mock Borrower 209,,mock_209@example.com,mock_co_209@example.com,"3190 Mock St, City, WA 12345",WA,5/12/2022,C 30 HB,"$891,250.00",5/10/2022,5.000%,Conventional,91.410%,91.410%,0.000%
3753XXX,Brad Overlin,Mock Borrower 210,,mock_210@example.com,mock_co_210@example.com,"7391 Mock St, City, WA 12345",WA,5/11/2022,C30,"$540,667.00",5/10/2022,5.375%,Conventional,80.000%,80.000%,0.000%
3774XXX,Brad Overlin,Mock Borrower 211,,mock_211@example.com,mock_co_211@example.com,"5210 Mock St, City, FL 12345",FL,5/6/2022,C30,"$580,000.00",5/6/2022,5.062%,Conventional,80.000%,80.000%,0.000%
3705XXX,Brad Overlin,Mock Borrower 212,,mock_212@example.com,,"4397 Mock St, City, CA 12345",CA,5/3/2022,C30,"$431,812.00",4/28/2022,4.062%,Conventional,82.250%,82.250%,0.000%
3564XXX,Brad Overlin,Mock Borrower 213,,mock_213@example.com,,"8461 Mock St, City, WA 12345",WA,4/29/2022,J 5/6 Sapphire,"$1,112,760.00",4/27/2022,3.875%,Conventional,80.000%,80.000%,0.000%
3747XXX,Brad Overlin,Mock Borrower 214,,mock_214@example.com,,"3689 Mock St, City, WA 12345",WA,4/22/2022,C30,"$484,000.00",4/18/2022,5.875%,Conventional,80.000%,80.000%,0.000%
3733XXX,Brad Overlin,Mock Borrower 215,,mock_215@example.com,mock_co_215@example.com,"3270 Mock St, City, WA 12345",WA,4/15/2022,C30,"$412,500.00",4/8/2022,3.250%,Conventional,82.500%,82.500%,0.000%
3718XXX,Brad Overlin,Mock Borrower 216,,mock_216@example.com,mock_co_216@example.com,"6580 Mock St, City, WA 12345",WA,4/19/2022,J 30 Gold,"$1,412,700.00",4/18/2022,3.550%,Conventional,80.000%,80.000%,0.000%
3735XXX,Brad Overlin,Mock Borrower 217,,mock_217@example.com,,"8891 Mock St, City, WA 12345",WA,4/18/2022,C30,"$250,000.00",4/12/2022,3.187%,Conventional,38.460%,38.462%,0.000%
3730XXX,Brad Overlin,Mock Borrower 218,,mock_218@example.com,mock_co_218@example.com,"3190 Mock St, City, FL 12345",FL,4/11/2022,VA 30,"$370,789.00",4/11/2022,3.500%,VA,76.500%,76.500%,0.000%
3719XXX,Brad Overlin,Mock Borrower 219,,mock_219@example.com,mock_co_219@example.com,"711 Mock St, City, WA 12345",WA,4/7/2022,C30,"$608,000.00",4/4/2022,4.437%,Conventional,95.000%,95.000%,0.000%
3707XXX,Brad Overlin,Mock Borrower 220,,mock_220@example.com,mock_co_220@example.com,"9724 Mock St, City, WA 12345",WA,4/4/2022,J 30 PenFed,"$1,462,500.00",4/1/2022,3.500%,Conventional,75.000%,75.000%,0.000%
3746XXX,Brad Overlin,Mock Borrower 221,,mock_221@example.com,,"1383 Mock St, City, WA 12345",WA,3/31/2022,WSHFC Opportunity 2nd Lien ,"$15,000.00",3/30/2022,1.000%,Conventional,0.000%,95.960%,0.000%
3679XXX,Brad Overlin,Mock Borrower 222,,mock_222@example.com,mock_co_222@example.com,"7221 Mock St, City, TX 12345",TX,3/31/2022,C30,"$489,458.00",3/31/2022,4.875%,Conventional,95.000%,95.000%,0.000%
3731XXX,Brad Overlin,Mock Borrower 223,,mock_223@example.com,,"5602 Mock St, City, WA 12345",WA,3/31/2022,WSHFC House Key (Conv.) with Opportunity DPA,"$253,688.00",3/30/2022,4.250%,Conventional,90.600%,95.960%,0.000%
3735XXX,Brad Overlin,Mock Borrower 224,,mock_224@example.com,,"3912 Mock St, City, WA 12345",WA,3/30/2022,C30,"$163,800.00",3/29/2022,4.875%,Conventional,60.000%,60.000%,0.000%
3745XXX,Brad Overlin,Mock Borrower 225,,mock_225@example.com,,"2976 Mock St, City, WA 12345",WA,3/29/2022,C30,"$486,400.00",3/28/2022,5.500%,Conventional,80.000%,80.000%,0.000%
3624XXX,Brad Overlin,Mock Borrower 226,,mock_226@example.com,mock_co_226@example.com,"9908 Mock St, City, WA 12345",WA,3/25/2022,C30,"$200,000.00",3/25/2022,5.500%,Conventional,80.000%,80.000%,0.000%
3729XXX,Brad Overlin,Mock Borrower 227,,mock_227@example.com,,"6436 Mock St, City, WA 12345",WA,3/16/2022,C30,"$480,000.00",3/16/2022,5.125%,Conventional,80.000%,80.000%,0.000%
3625XXX,Brad Overlin,Mock Borrower 228,,mock_228@example.com,,"711 Mock St, City, WA 12345",WA,3/14/2022,C30,"$484,000.00",3/11/2022,5.125%,Conventional,80.000%,80.000%,0.000%
3585XXX,Brad Overlin,Mock Borrower 229,,mock_229@example.com,mock_co_229@example.com,"9566 Mock St, City, WA 12345",WA,3/15/2022,C20,"$205,000.00",3/8/2022,3.375%,Conventional,32.540%,32.540%,0.000%
3435XXX,Brad Overlin,Mock Borrower 230,,mock_230@example.com,,"9073 Mock St, City, WA 12345",WA,3/10/2022,C30,"$647,200.00",3/7/2022,3.437%,Conventional,64.410%,82.479%,0.000%
3693XXX,Brad Overlin,Mock Borrower 231,,mock_231@example.com,mock_co_231@example.com,"9110 Mock St, City, WA 12345",WA,3/10/2022,C30,"$482,795.00",3/9/2022,3.500%,Conventional,85.450%,85.450%,0.000%
3656XXX,Brad Overlin,Mock Borrower 232,,mock_232@example.com,,"3809 Mock St, City, WA 12345",WA,3/8/2022,C30,"$316,000.00",3/3/2022,3.500%,Conventional,80.000%,80.000%,0.000%
3653XXX,Brad Overlin,Mock Borrower 233,,mock_233@example.com,mock_co_233@example.com,"2054 Mock St, City, WA 12345",WA,3/7/2022,C30,"$417,050.00",3/4/2022,3.937%,Conventional,95.000%,95.000%,0.000%
3691XXX,Brad Overlin,Mock Borrower 234,,mock_234@example.com,,"2219 Mock St, City, NV 12345",NV,3/2/2022,J 30 Preferred Express,"$1,100,750.00",3/1/2022,4.375%,Conventional,85.000%,85.000%,0.000%
